response_1,code_1,index_1,response_2,code_2,index_2,cosine_distance
Measurement Error,O,506,Measurement Error,L,40,0.0
friction,L,516,Friction,O,266,0.0
Friction,L,2142,Friction,O,266,0.0
Random errors,O,520,Random errors,L,2610,0.0
random error,L,2145,random error,O,200,0.0
Measurement error,L,544,Measurement error,O,1109,0.0
Experimental error,O,1312,Experimental Error,L,1221,0.0
friction,L,2125,Friction,O,266,0.0
experimental error,O,588,Experimental Error,L,1221,0.0
Random Errors,O,2173,Random errors,L,2610,0.0
Uncertainty in measurement,L,2175,Uncertainty in measurement,O,1968,0.0
Friction ,L,1261,Friction,O,266,0.0
measurement errors,O,607,measurement errors,L,2557,0.0
Viscosity of water,L,625,viscosity of water,O,2553,0.0
measurement uncertainty,O,628,Measurement uncertainty,L,2626,0.0
Measurement error,O,2593,Measurement Error,L,40,0.0
friction,L,1260,Friction,O,266,0.0
Measurement error,L,2122,Measurement error,O,21,0.0
Random error,L,2111,random error,O,200,0.0
random errors,O,1491,Random errors,L,2610,0.0
Measurement uncertainty,L,2626,measurement uncertainty,O,628,0.0
Mass of ball,O,368,mass of ball,L,1965,0.0
mass of ball,L,1999,Mass of ball,O,368,0.0
Air drag ,L,1445,Air drag,O,1762,0.0
speed,O,1434,speed,L,1366,0.0
speed,L,1366,Speed,O,1009,0.0
friction,L,1421,Friction,O,266,0.0
friction,L,1416,Friction,O,266,0.0
Random error,O,1413,random error,L,1587,0.0
Random errors,L,2610,Random errors,O,75,0.0
measurement error,L,412,Measurement error,O,1109,0.0
Random Errors,O,2078,Random errors,L,2610,0.0
friction,L,1406,Friction,O,266,0.0
measurement errors,O,403,measurement errors,L,2557,0.0
statistics ,O,2570,Statistics,S,268,0.0
Uncertainty in measurement,O,2569,Uncertainty in measurement,L,2175,0.0
Systematic errors,L,2566,Systematic errors,O,2311,0.0
Random error,O,1125,random error,L,1587,0.0
Measurement error,O,1109,measurement error,L,412,0.0
Experimental error,O,1104,Experimental Error,L,1221,0.0
Random chance,L,1103,Random Chance,O,1198,0.0
measurement error,L,905,Measurement error,O,21,0.0
Systematic errors,O,2311,Systematic errors,L,2566,0.0
Friction,L,1130,Friction,O,266,0.0
Random errors,O,2414,Random errors,L,2610,0.0
friction,L,1050,Friction,O,266,0.0
Uncertainty in measurement,L,2341,Uncertainty in measurement,O,1968,0.0
friction,L,970,Friction,O,266,0.0
speed,O,1010,speed,L,1366,0.0
Speed,O,1009,speed,L,1366,0.0
statistics ,S,991,statistics ,O,2570,0.0
friction ,L,1062,Friction,O,266,0.0
friction,L,2470,Friction,O,266,0.0
the size of the slit,O,834,the size of the slit,L,2820,0.0
Friction,L,1137,Friction,O,266,0.0
Measurement error ,O,659,Measurement Error,L,40,0.0
measurement errors,O,2563,measurement errors,L,2557,0.0
measurement errors,L,2557,Measurement errors,O,148,0.0
