;text1;code1;index1;text2;code2;index2;cosine_distance;updated_code1;updated_code2
0;Measurement Error;O;506;Measurement Error;L;40;0.0;O;O
1;Viscosity of water;L;625;viscosity of water;O;2553;0.0;L;L
2;measurement errors;O;607;measurement errors;L;2557;0.0;O;O
3;Randomness;P;2588;Randomness;O;2832;0.0;O;O
4;Friction ;L;1261;Friction;O;266;0.0;L;L
5;Measurement error;O;2593;Measurement Error;L;40;0.0;O;O
6;experimental error;O;588;Experimental Error;L;1221;0.0;O;O
7;Randomness;P;2158;Randomness;O;2832;0.0;O;O
8;Experimental error;O;1312;Experimental Error;L;1221;0.0;O;O
9;Measurement error;L;544;Measurement error;O;21;0.0;O;O
10;randomness;P;541;Randomness;O;2832;0.0;O;O
11;random error;L;2145;random error;O;200;0.0;O;O
12;Friction;L;2142;Friction;O;266;0.0;L;L
13;friction;L;516;Friction;O;266;0.0;L;L
14;Randomness;P;511;Randomness;O;2832;0.0;O;O
15;measurement uncertainty;O;628;Measurement uncertainty;L;2626;0.0;O;O
16;initial velocity;L;992;Initial velocity ;O;1064;0.0;L;L
17;Measurement error;L;2122;Measurement error;O;21;0.0;O;O
18;speed;L;1366;Speed;O;1009;0.0;L;L
19;Random error;L;2111;random error;O;200;0.0;O;O
20;friction;L;1406;Friction;O;266;0.0;L;L
21;measurement error;L;412;Measurement error;O;21;0.0;O;O
22;Random error;O;1413;random error;L;1587;0.0;O;O
23;friction;L;1416;Friction;O;266;0.0;L;L
24;measurement errors;O;403;measurement errors;L;2557;0.0;O;O
25;friction;L;1421;Friction;O;266;0.0;L;L
26;speed;O;1434;speed;L;1366;0.0;L;L
27;Air drag ;L;1445;Air drag;O;1762;0.0;L;L
28;mass of ball;L;1999;Mass of ball;O;368;0.0;L;L
29;Mass of ball;O;368;mass of ball;L;1965;0.0;L;L
30;Measurement uncertainty;L;2626;measurement uncertainty;O;628;0.0;O;O
31;friction;L;2125;Friction;O;266;0.0;L;L
32;friction;L;1260;Friction;O;266;0.0;L;L
33;Measurement error ;O;659;Measurement Error;L;40;0.0;O;O
34;measurement errors;O;2563;measurement errors;L;2557;0.0;O;O
35;Speed;O;1009;speed;L;1366;0.0;L;L
36;mass of ball;O;984;mass of ball;L;1965;0.0;L;L
37;speed;O;1010;speed;L;1366;0.0;L;L
38;friction;L;970;Friction;O;266;0.0;L;L
39;friction;L;1050;Friction;O;266;0.0;L;L
40;friction ;L;1062;Friction;O;266;0.0;L;L
41;Initial velocity ;O;1064;initial velocity;L;992;0.0;L;L
42;Initial velocity;L;2305;Initial velocity ;O;1064;0.0;L;L
43;measurement error;L;905;Measurement error;O;21;0.0;O;O
44;Experimental error;O;1104;Experimental Error;L;1221;0.0;O;O
45;Measurement error;O;1109;Measurement Error;L;40;0.0;O;O
46;Random error;O;1125;random error;L;1587;0.0;O;O
47;Friction;L;1130;Friction;O;266;0.0;L;L
48;friction;L;2470;Friction;O;266;0.0;L;L
49;the size of the slit;O;834;the size of the slit;L;2820;0.0;L;L
50;Friction;L;1137;Friction;O;266;0.0;L;L
51;measurement error;O;2242;Measurement Error;L;40;0.0;O;O
52;measurement errors;L;2557;Measurement errors;O;148;0.0;O;O
53;Measurement error;L;2197;Measurement error;O;21;0.0;O;O
54;Experimental Error;L;1221;Experimental error;O;299;0.0;O;O
55;viscosity of water;O;2553;Viscosity of water;L;625;0.0;L;L
56;Measurement error;O;716;Measurement Error;L;40;0.0;O;O
57;Friction;L;1209;Friction;O;266;0.0;L;L
58;mass of ball;L;1965;Mass of ball;O;368;0.0;L;L
59;Friction;L;2220;Friction;O;266;0.0;L;L
60;Randomness;P;2534;Randomness;O;2832;0.0;O;O
61;Random Error;O;741;random error;L;1587;0.0;O;O
