text1,text2,label
They’re still going to see a wave pattern even in 1 experiment,They’re still going to see a wave pattern even in 1 experiment,1.0
They’re still going to see a wave pattern even in 1 experiment,"No, it’s a diffraction experiment, even with perfect equipment, we can’t tell where electrons will land before they do",1.0
They’re still going to see a wave pattern even in 1 experiment,"At some point, the distance being measured is in the Quantum Scale, where nothing is ever certain.",1.0
They’re still going to see a wave pattern even in 1 experiment,"In quantum mechanics, the world is basically (in most interpretations) probabilistic and has a certain degree of randomness to it. Thus many of the processes in experiments have a theoretical uncertainty that cannot be reduced by any means.",1.0
They’re still going to see a wave pattern even in 1 experiment,Quantum mechanics has inherent probabilities.,1.0
They’re still going to see a wave pattern even in 1 experiment,More or less supposed to be there since QM is a statistical field at the scale that we care about,1.0
They’re still going to see a wave pattern even in 1 experiment,"Heisenberg's Uncertainty Principle -- being certain in one variable leads to less certainty in the other variable (e.g., position and momentum). Also, the generalized uncertainty principles for any two observables.",1.0
They’re still going to see a wave pattern even in 1 experiment,(The Heisenberg uncertainty principle) delta x times delta p = ħ/2. There's also the energy-time relation.,1.0
They’re still going to see a wave pattern even in 1 experiment,Measurement uncertainty in classical mechanics can usually arise from human error in setup or calculation.,0.0
They’re still going to see a wave pattern even in 1 experiment,"Human error, especially in the manufacturing of the experimental apparatus",0.0
They’re still going to see a wave pattern even in 1 experiment,"Human error (things like timing a stopwatch, measuring with a ruler, etc.)",0.0
They’re still going to see a wave pattern even in 1 experiment,Non-ideal effects like friction.,0.0
They’re still going to see a wave pattern even in 1 experiment,Small changes in initial conditions,0.0
They’re still going to see a wave pattern even in 1 experiment,"Uncertainties in measurement apparatuses (i.e. gradations on a ruler, etc.)",0.0
They’re still going to see a wave pattern even in 1 experiment,Mostly brought about by minor differences in equipment,0.0
They’re still going to see a wave pattern even in 1 experiment,"I think of it as some sort of limitation of instruments, variance caused by imperfect equipment.",0.0
They’re still going to see a wave pattern even in 1 experiment,And *possible* statistical errors: from very large sample sizes,0.0
They’re still going to see a wave pattern even in 1 experiment,experimental bias,0.0
They’re still going to see a wave pattern even in 1 experiment,Small number of data points,0.0
They’re still going to see a wave pattern even in 1 experiment,Low sample number,0.0
They’re still going to see a wave pattern even in 1 experiment,The low number of repeats means the distribution isn’t very smooth,0.0
They’re still going to see a wave pattern even in 1 experiment,More counts would make the distribution closer to a normal distribution,0.0
They’re still going to see a wave pattern even in 1 experiment,Measuring many data points produces a distribution with most points within the standard deviation of the mean,0.0
They’re still going to see a wave pattern even in 1 experiment,Things are very statistical and you may have to wait for what you need.,0.0
They’re still going to see a wave pattern even in 1 experiment,inevitable statistical errors from inherent probabilistic nature of measurement. ,0.0
They’re still going to see a wave pattern even in 1 experiment,Also additional possible statistical errors from very large sample sizes.,0.0
They’re still going to see a wave pattern even in 1 experiment,It can be obvious to see uncertainty because classically it should be possible to recreate an experiment exactly.,0.0
They’re still going to see a wave pattern even in 1 experiment,Midway point of the extremes is most common,0.0
They’re still going to see a wave pattern even in 1 experiment,Shows the highest percentage of counts in the middle,0.0
They’re still going to see a wave pattern even in 1 experiment,The center of the histogram should be the true value,0.0
They’re still going to see a wave pattern even in 1 experiment,Most of the values fall near the mean of the histogram,0.0
They’re still going to see a wave pattern even in 1 experiment,It can be obvious to see uncertainty because classically it should be possible to recreate an experiment exactly. ,0.0
They’re still going to see a wave pattern even in 1 experiment,"As long as the value measured is within one standard deviation of the expected theoretical result, it should be acceptable. ",0.0
They’re still going to see a wave pattern even in 1 experiment,It should land in the same spot each time.,0.0
They’re still going to see a wave pattern even in 1 experiment,Randomness of Brownian motion,1.0
They’re still going to see a wave pattern even in 1 experiment,Nature of Brownian motion results in a natural distribution,1.0
They’re still going to see a wave pattern even in 1 experiment,Spins should be random,1.0
They’re still going to see a wave pattern even in 1 experiment,Quantum effects in electrons,1.0
They’re still going to see a wave pattern even in 1 experiment,The diffraction of the electron wave function going through the slit,1.0
They’re still going to see a wave pattern even in 1 experiment,"Quantum mechanics is probabilistic, so there is inherent variation in the experiment",1.0
They’re still going to see a wave pattern even in 1 experiment,The fact that the movement of particles at the fundamental level is random; the wideness of the distribution should obey Heisenberg Uncertainty Principle,1.0
They’re still going to see a wave pattern even in 1 experiment,Ball not placed at the right spot each time,0.0
They’re still going to see a wave pattern even in 1 experiment,The placement of the magnet might shift from time to time,0.0
They’re still going to see a wave pattern even in 1 experiment,Different ramps cannot be identical,0.0
They’re still going to see a wave pattern even in 1 experiment,Materials issues (ball; ramps are identical),0.0
They’re still going to see a wave pattern even in 1 experiment,The electron source’s release velocity of the electrons,0.0
They’re still going to see a wave pattern even in 1 experiment,The effect of the space between the slit and the screen on the electron (air resistance? friction? etc),0.0
They’re still going to see a wave pattern even in 1 experiment,The time may not be exact,0.0
They’re still going to see a wave pattern even in 1 experiment,Meterstick not held correctly,0.0
They’re still going to see a wave pattern even in 1 experiment,There should be a bimodal distribution maybe students are faking data,0.0
They’re still going to see a wave pattern even in 1 experiment,Ruler isn’t accurate enough in micrometer range,0.0
They’re still going to see a wave pattern even in 1 experiment,A ruler is not a suitably-precise instrument for this task,0.0
They’re still going to see a wave pattern even in 1 experiment,Difficulty in spotting the dropped place because of the ball bouncing up again at the floor,0.0
